ISBN,Title,Author,Category/Subject
9788193917114,Bihar At a Glance,Surendra Raut,academic/Academic
9788193746882,UAE VAT,"Atul Kumar Gupta
Ajay Sharma
Swati Chutani",professional/Tax
9788193917152,110+ in GS 2,Manuj Jindal,academic/Academic
9788193917138,"Law, Justice & Judicial Power",Mool Chand Sharma,professional/Law
9789389176124,Contemporary Social Issues,Smarak Swain,academic/Academic
9789389176117,Disaster Management,Praveen Kumar,academic/Academic
9789389176209,"Goods & Services Tax: Law, Practice & Procedure (2 Volumes) 4/e",Atul Kumar Gupta,professional/Tax
9789389176575,GST for Construction Industry 2/e,G Natarajan,professional/Tax
9789389176148,110+ in GS 2 (Hindi),Manuj Jindal,academic/Academic
9789389176605,Investing in Indian & Foreign Start-Up Companies,S Krishnan,professional/Tax
9789389176667,Jurisprudence of Privacy,"Udayan Mukerji 
R K Naroola",professional/Law
9788194991137,Indian Polity & Governance,Nirbhay Sharma,academic/Academic
9789391032555,Arthvyavastha – Prashnottar Roop Mein,Udaybhan Singh and Garima Singh,academic/Academic
9789391032005,UPPSC Samanya Adhyayan Prashna Patra-1,OakBridge,academic/Academic
9789391032012,UPPSC Samanya Adhyayan Prashna Patra-2,OakBridge,academic/Academic
9789391032029,UPPSC Samanya Adhyayan Prashna Patra-3,OakBridge,academic/Academic
9789391032074,UPPSC Samanya Adhyayan Prashna Patra-4,OakBridge,academic/Academic
9789391032272,Indian Economy,Amit Sinha,academic/Academic
9789391032340,MPPSC Mains Examination Series General Studies Paper 4,OakBridge,academic/Academic
9789391032920,Environment & Ecology,R Rajagopalan,academic/Academic
9789391032937,Law of Bail,"R K Naroola
Udayan Mukerji",professional/Law
9789391032883,MPPSC Mains Examination Series General Studies Paper 3 Volume I,Sagar Srivastava,academic/Academic
9789391032968,MPPSC Mains Examination Series General Studies Paper 3 Volume II,Sagar Srivastava,academic/Academic
9789391032289,CSAT: Practice Papers,Sudhanshu Kumar,academic/Academic
9789395764001,Compulsory English,A P Bharadwaj,academic/Academic
9789391032807,General Studies Series Part 1 – Indian Art and Culture,OakBridge,academic/Academic
9789391032708,General Studies Series Part 2 – Modern India and Indian National Movement,OakBridge,academic/Academic
9789395764049,"General Studies Series Part 3-Indian Constitution, Political System and Rights Issues",OakBridge,academic/Academic
9789395764018,General Studies Series Part 4 – Geography of India and the World,OakBridge,academic/Academic
9789395764025,General Studies Series Part 6 – General Science and Technology,OakBridge,academic/Academic
9789395764056,General Studies Series Part 7 – Environment and Ecology,OakBridge,academic/Academic
9789395764131,Paryavaran Evam Paristhitiki,R Rajagopalan,academic/Academic
9789395764315,Internal Security,Lohit Matani,academic/Academic
9789395764452,Corporate Law Referencer (2 Vol. Set),Sumit Pahwa,professional/Law
9789395764445,General Studies Series Part 5 -Indian Economy and Socio-Economic Developments,OakBridge,academic/Academic
9789395764506,Social Justice,"Naveen Kumar Chandra, IAS",academic/Academic
9789395764469,Indian Geography Through Maps,"Somesh Upadhyay, IAS",academic/Academic
9789391032517,MPPSC Mains Examination Series General Studies Paper 2 Vol I,Sagar Srivastava,academic/Academic
9789395764612,CSAT: Practice Papers,Sudhanshu Kumar,academic/Academic
9789395764650,Samanya Adhyayan Paper 5 | सामान्य अध्ययन पेपर - 5,Kamna Singh & Vaibhav Kumar,academic/Academic
9789395764865,Previous Years Solved Papers- Psychology Paper-I (2015-2023),OakBridge,academic/Academic
9789395764711,MasterGuide to NTA UGC NET | SET | JRF Paper 1 (Teaching and Research Aptitude),Harpreet Kaur,academic/Academic
9788197288395,Compulsory English,A P Bharadwaj,academic/Academic
9788197939228,Handbook on Comparative IPR Law Technology Law and Emerging Legal Domains,"Prof (Dr) Aditya Tomar, Dr Joshua Aston, Mini Srivastava, Rupendra Singh",professional/Law
9789395764902,UPPSC Samanya Adhyayan Paper 6,Kamna Singh and Vaibhav Kumar,academic/Academic
9788198431165,All-in-One Master Guide to NTA UGC NET Paper I (Teaching and Research Aptitude),Harpreet Kaur,academic/Academic
9788198431189,Corporate Law Referencer®,Dr Sumit Pahwa,professional/Law
