isbn,title,author,description,category,price,language,total_pages,total_chapters,access_period_days
9788193746882,UAE VAT,Atul Kumar Gupta Ajay Sharma Swati Chutani,"UAE VAT: Law and Procedures provides a comprehensive analysis of the law governing Value Added Tax (VAT) in UAE and its implementation. Divided into two parts, Part I comprises of chapters which explain the provisions of law and compliances by the industry. Part II contains the legislation on VAT and Tax procedures, User Guide issued by the Federal Tax Authority (FTA), and Clarification issued by FTA. In line with the objectives of the GCC Economic Agreement of 2001, which seeks to reach advanced stages of economic integration, and develop similar legislation throughout the GCC, the GCC (Gulf Country Corporation) has introduced the Unified GCC VAT law to implement VAT in the Gulf Region. The UAE has introduced the VAT decree law No. 08 of the 2017 in the parliament and made it applicable from 1st January 2018 throughout the UAE. Immediately after the introduction of the Excise law in the UAE for specified goods only, the implementation of the VAT is a challenge for industry to comply with and to understand the legislative structure. Through this publication, the aim is to facilitate the industry in adopting the newly introduced law. The book will be a valuable addition to the tax practitioners and consultants in the UAE, judiciary, corporations and industries governed by VAT laws, and students of law and taxation.",Tax,1250,English,732,,
9788193917138,"Law, Justice & Judicial Power",Mool Chand Sharma,"Law, Justice and Judicial Power: Justice P.N. Bhagwati’s Approach is a Festschrift comprising of 24 essays written in the honor of the late Justice P.N. Bhagwati, former Chief Justice of India and contributed by eminent persons cutting across professions and disciplines including former Chief Justices of India and of other countries, sitting Judge of the Apex Court of India, law officers holding constitutional positions, distinguished lawyers, scholars of international repute, Parliamentarians and other policy makers and public statesmen. In their essays, the contributors have recalled, described, assessed and celebrated the contributions of Justice P.N. Bhagwati especially through Constitutional Jurisprudence, transforming Indian Constitution from a paper being treated as a document to a source of power bringing social revolution and converting courts from being used as a forum by repeat players to forum for justice to poor, disadvantaged, minorities and exploited. Professor (Dr.) Moolchand Sharma is an established scholar who has worked extensively in the area of Constitutional jurisprudence; Law, Political Economics and development; Law, Politics and Democracy; Poverty and Human Rights jurisprudence. List of Contributors: 1.Justice A K Sikri 2.Justice (Dr) D Y Chandrachud 3.Justice M N Venkatachaliah 4.Justice A M Ahmadi 5.Justice Michael Kirby 6.K K Venugopal 7.Soli J Sorabjee 8.Prof. (Dr) Upendra Baxi 9.Prof. N R Madhava Menon 10.Bibek Debroy 11.Aparajita Gupta 12.(Dr) Abhishek Singhvi 13.(Dr) Shashi Tharoor 14.Baijayant Panda 15.Prof. Faizan Mustafa 16.Aymen Mohammed 17.Prof. Satish C Shastri 18.(Dr) Mark Dsouza 19.M C Mehta 20.A S Chandhiok 21.Rupinder Singh Suri 22.(Dr) Aman Hingorani 23.Ashok H Desai 24.Prof. (Dr) Vijender Kumar 25.Prof. (Dr) S Surya Prakash",Law,995,English,482,,
9789389176209,"Goods & Services Tax: Law, Practice & Procedure (2 Volumes) 4/e",Atul Kumar Gupta,"Goods and Services Tax: Law, Practice and Procedures, 4th Edition provides a comprehensive analysis of the law governing taxation of Goods and Services in India. Key FeaturesThe commentary, while providing the updated position of law as on 23 August 2019 alsoElucidates the basic concepts of GST in a simplified and lucid mannerAnalyses in-depth the provisions of CGST/SGST/UTGST and GST (Compensation to States) Act, 2017Exhaustively analyses the Finance Bill (No. 2), 2019 Covers latest notifications and circulars issued Provides clarity on the concept of Supply, Time of Supply (Point of Taxation) and Place of SupplyComprehensively discusses the provisions for e-way bill along with solutions to practical problemsExamines TDS and TCS provisions along with their SOPs as issued by the departmentProvides appropriate guidance on Anti-Profiteering measures along with practical case study as provided in Section 171 of the CGST Act, 2017Explains the requirements for Input Tax Credit under the Input Tax Credit provisions and RulesContains 105 Illustrations, 43 Flowcharts, Info-Capsules & FAQs at the end of relevant chapters providing practical guidance on the provisions of lawIncludes a separate chapter on GST Annual AuditAnalyses SABKA VISHWAS (Legacy Dispute Resolution) Scheme, 2019 and includes Rules & Forms under it The book will be of immense value to tax practitioners, tax professionals, financial advisors & consultants, tax enforcement agencies & its officers.Mr Atul Kumar Gupta is a fellow member of the Institute of Chartered Accountants of India and the Institute of Cost Accountants of India, besides being a Law Graduate. A member of various other professional bodies and Institutions, Mr Gupta is a thorough scholar and has qualified CA examination with All India Rank. He was a Central Council Member of ICAI from 2013-16 & 2016-2019",Tax,2495,English,1716,,
9789389176575,GST for Construction Industry 2/e,G Natarajan,"Demystifying GST for Construction Industry traces the history of taxation on the construction sector since 1948 with the famous decision of the Hon’ble Supreme Court in Gannon Dunkerly, setting the contours. By explaining the nuances of Service Tax levy on construction sector and referring to various judgments, the Book lays the foundation for the study of GST on construction sector. Various amendments in the GST law carried out since July 2017 pose a serious challenge in keeping track and complying with them. Further, the changes introduced from 01.04.2019 for construction sector impose various conditions, compliance of which would be a big challenge for the industry. This Book explains these changes and conditions lucidly, with ample examples, to make the understanding and compliance easier for the industry as well as professionals. In this second edition, the discussion on GST vis-a-vis Construction sector has been made clearer, simpler and more reader friendly. Further, care has been taken to include discussions on works contracts other than construction of residential apartments in this edition. Discussion on anti-profiteering provisions and certain important rulings of National Anti-profiteering Authority and Advance Ruling Authority have also been incorporated. This Book is a must buy for anyone who wants to understand the fundamentals of GST applicable to the construction sector.",Tax,950,English,490,,
9789389176605,Investing in Indian & Foreign Start-Up Companies,S Krishnan,"Investing in Indian & Foreign Start-up Companies provides an overview of the regulatory framework in India for direct and indirect investment through funds, in Indian and foreign start-up companies. This handbook explains, in a simple language, the incentives to investors investing in a start-up company in India, the various benefits enjoyed by a DPIIT registered start-up company, the income tax impact on Indian start-up companies and on investors at the time of investing and sale or transfer of securities. Keeping in view the foreign investments that Indian start-ups continue to attract, the trend of Indian start-up companies expanding their operations outside India and Indians investing in foreign start-ups, this handbook also examines the foreign exchange regulatory regime in India as well as the income tax consequences. The handbook elucidates the applicable regulations for issue of ESOPs, sweat equity shares and shares on a preferential basis; and the income tax consequences on the company and its employees, directors, consultants and advisors on such allotment. The year 2019 witnessed significant changes in the Income-tax law and revamping of the Foreign Direct Investment regulations in India. This 2nd edition incorporates these changes and its impact on start-ups as well. This handbook is presented in a Question and Answer format to help investors, start-up entrepreneurs and the various stakeholders understand the regulatory regime easily and use it as a reference guide. This handbook will be useful to angel investors, angel funds, general investors, entrepreneurs, start-up entities, as well as employees, advisors, and consultants of start-up companies. About the Author: S Krishnan is an international tax professional providing tax advisory services to family owned funds, angel funds & start-up companies.",Tax,795,English,380,,
9789389176667,Jurisprudence of Privacy,Udayan Mukerji R K Naroola,"Jurisprudence of Privacy traces the evolution of the concept of privacy from its narrowest possible connotation to its ever-expanding dimensions in this age of technology advancements. The authors have delved into the philosophical as well as the legal aspects relating to privacy across different jurisdictions and brought it to bear upon the developments in India. In the process, the reader will witness how privacy has evolved into a fundamental right, under the Indian Constitution as also in other countries, from merely being a common law right exercisable under tort law. The exposition on the various typologies of privacy will help the reader contextualize this transformation of the right to privacy. The authors also postulate in the concluding chapter about Privacy being the ‘Grundnorm’ which serves as the fountainhead for normative systems, legal or moral. Data Privacy, an essential aspect of the right to privacy, has been discussed in detail in the light of landmark judicial decisions in Puttaswamy and Aadhar cases and the legislative framework in India, including the pending Personal Data Protection Bill. The conflict arising between individual rights and national interests owing to bulk interception of data has been analysed meticulously and possible safeguards that must be instituted in law to avoid arbitrary violation have been delineated. The book aims to be a ready reference on the subject for law practitioners, judges, policy makers, students and researchers.",Law,795,English,352,,
9789391032937,Law of Bail,R K Naroola Udayan Mukerji,"Law of Bail in its second edition expands upon the analysis of the relevant provisions of the Code of Criminal Procedure, 1973 governing bail. The authors discuss the historical evolution of law of bail in India, its origins and its jurisprudential development. The concept and provisions relating to post-conviction bail have been examined in detail in this edition. While examining the special statutes including The Unlawful Activities (Prevention) Act, 1967; The Prevention of Money Laundering Act, 2002; Narcotic Drugs and Psychotropic Substances Act, 1985; Protection of Children from Sexual Offences Act, 2012; and Juvenile Justice (Care and Protection of Children) Act, 2015; and The Copyright Act, 1957 and The Trade Marks Act, 1999; the authors have delved upon the need for such specific provisions relating to bail therein and the grounds for deviating from the principle of ‘bail not jail’. The concluding chapter in the book summarizes the complete width of the canvas of law of bail and takes a multi-disciplinary view of the subject to expound on the shortcomings in the legal framework and possible solutions for it. The book will be of immense value to practitioners, judges, police officers, enforcement officers, policy makers, academicians and researchers.",Law,695,English,322,,
9789395764452,Corporate Law Referencer (2 Vol. Set),Sumit Pahwa,"Corporate Law Referencer presents a 360o view of the Companies Act, 2013 with section-wise arrangement of all Circulars, Orders, Rules & Notifications including Procedures, FAQs, Judicial Precedents and Forms. 9th Edition, updated upto 10th May 2023 includes: • Companies Act, 2013 and Limited Liability Partnership Act, 2008 updated upto 10th May 2023 • Annual editions regularly updated to incorporate legislative changes • Section is the King - All Circulars, Orders, Rules and Notifications (CORN) including Procedures, FAQs and Judicial Precedents have been placed below the relevant section • Compliance checklists and tables on Compliances for Listed Companies under the LODR, Takeover code, Insider Trading, Buy-Back and ESOP & Sweat Equity Regulations • Quick Referencers containing 100+ procedures and compliance checklists for both Listed and Unlisted Companies • 700+ FAQs on grey areas and practical issues • 150+ landmark judgments on key issues • Formats of 100+ resolutions under relevant sections • Secretarial Standards • NCLT and NCLAT Rules 2016 • 21 Quick Reference Tables (QRTs)",Law,3850,English,2652,,
9788197939228,Handbook on Comparative IPR Law Technology Law and Emerging Legal Domains,"Prof (Dr) Aditya Tomar, Dr Joshua Aston, Mini Srivastava, Rupendra Singh","Offers readers an in-depth understanding of various aspects of IPR law in relation to the shifting paradigm with the emergence of technology and AI. Delves into how the conventional understanding of IPR has developed over time and led to an inseparable union with technology. Highlights the progression and integration of these fields, demonstrating how they have collectively shaped the modern legal landscape. Also explores the realms of Artificial Intelligence and Cyber Laws, with a particular focus on data privacy regulations. Equips legal practitioners, scholars, and enthusiasts with the knowledge necessary to address the challenges and opportunities presented by technological advancements.",Law,895,English,414,,
9788198431189,Corporate Law Referencer®,Dr Sumit Pahwa,"Corporate Law Referencer presents a 360o view of the Companies Act, 2013 and Limited Liability Partnership Act, 2008 with section-wise arrangement of all Circulars, Orders, Rules & Notifications including Procedures, FAQs, Resolutions, Adjudication Orders and Judicial Precedents. 11th Edition, updated upto 1st April 2025 includes: Companies Act, 2013 and Limited Liability Partnership Act, 2008 updated upto 1st April, 2025 Annual editions regularly updated to incorporate legislative changes Section is the King - All Circulars, Orders, Rules and Notifications (CORN) including Procedures, FAQs, Resolutions and Judicial Precedents have been placed below the relevant section Compliance checklists and tables on Compliances for Listed Companies under the LODR, Takeover code, Insider Trading, Buy-Back and ESOP & Sweat Equity Regulations Quick Referencers containing 150+ procedures and compliance checklists for both Listed and Unlisted Companies 800+ FAQs on grey areas and practical issues 250+ landmark judgments on key issues Formats of 100+ resolutions under relevant sections Secretarial Standards Notes on 75+ adjudication orders on the key matters providing readers an insight into the cost of non-compliance 23 Quick Reference Tables (QRTs)",Law,4750,English,2686,,
