isbn,title,author,description,category,price,language,total_pages,total_chapters,access_period_days
9788193746868,Decoding Section 5,H Padamchand Khincha & K K Chythanya,"Decoding Section 5 by H Padamchand Khincha and K K Chythanya provides an in-depth analysis on Section 5 of Income tax Act, 1961, and discusses its interplay with other provisions of the Act. Largely untouched by legislative amendments, the authors of the book have attempted to peel through years of judicial exposition on the provision and adopt a fresh and unfettered approach. The authors dig deep with their research, to analyze many terms used in the legislation, which are sometimes used inter-changeably or which are bandied about without full appreciation. The difference between Receipt and Accrual of Income has long been a bone of contention between the tax collector and tax payer. The true import and wider ramifications of “receipt”, “accrual” and “deemed accrual” are succinctly explained, as also the genesis of Double Taxation Avoidance Laws. The celebrated decision of the Apex court in Vodafone case, which also exposits concepts of accrual and deemed accrual have been explained in a manner which would be appreciated both by tax practitioners as well as a layman. The book would be an asset in any library and it is recommended in classrooms too for a better understanding of Section 5 of the Income Tax Act, 1961, which are the pillars of the Act. Excerpt from Foreword: ""After reading this book, I realized how essential it was for every tax practitioner to periodically go back to the basics and revisit the fundamentals of tax law. Padamchand and Chythanya have literally brought sections 4 and 5 to life. It is necessary that every person dealing with the Act has a copy of this book. It should not only adorn one’s bookshelf, but all of us must also make it a point to read it periodically"" ~ Arvind P Datar, Senior AdvocateH Padamchand Khincha, a partner in H C Khincha & Co, Bangalore has over 30 years of experience in corporate and international tax areas.K K Chythanya has over 28 years of experience in taxation matters.",Tax,650,English,238,,
9788193746875,Software Protection,Asheeta Regidi,"Thematic commentary on the areas of software copyright, software patent and software licensing laws. * Discusses the various forms of legal and contractual protection available against software rights infringement. * Examines the influence of international laws on the evolving jurisprudence in India. * Analyses relevant Indian and International Case Law. * Explains the concepts of free and open licensing, copyleft. enforceability of e-contracts including shrink-wrap and browse-wrap agreements. * Examines relative provisions of Information Technology Act, 2000; Indian Copyright Act, 1957; Patents Act, 1970; and India Contract Act, 1872. Asheeta is a consultant specializing in Indian and international technology, privacy and cyber laws. She is a Certified Information Privacy Professional (CIPP/E, CIPP/A), and a Member of the International Association of Privacy Professionals. She provides consultation to clients, law firms and companies on matters relating to intellectual property rights in relation to software, software licensing, as well as free and open source licensing. Asheeta regularly contributes articles in her fields of specialization that have been published in the media. Asheeta read law at Government Law College, Mumbai (BLS, LLB), and is a Member of the Bar Council of Maharashtra and Goa. She also holds qualifications in cyber laws and cyber-crime investigation from the Asian School of Cyber Laws.",Law,695,English,322,,
9788193746899,Challenges in Domestic & International Taxation,Parthasarathi Shome,"Challenges in Domestic and International Taxation: Emerging Indian Experience contains a collection of rich investigations and associated policy recommendations by ITRAF researchers completed during the 2017-18 period who take up new topics that have appeared on the horizon of income taxation. Some of the key challenges that have been delved in detail in the volume through an analysis of the existing regime, the gaps therein, the new challenges in economy and recommendations on way forward are: (1)Principles of taxation to be ideally adhered in formulating tax policy and administration from the perspective of tax revenue trends, Corporate tax rate structure, Goods and Services tax in India (2)Charitable contributions, philanthropy and taxation in India analyzing the issues, global experience and concerns (3)Taxation of Digital Economy examining a wide range of policy issues and judicial developments in India (4)Tax treaties and Multilateral Instrument, impact on the role and relevance of double taxation avoidance agreements (DTAA’s) or tax treaties, and analysis of the minimum standards in the MLI (5)Cryptocurrency and bitcoin that are able to assume virtual existence while enabling international payments and broader arrangements raise questions relating to circumvention of existing regulation or taxation (6)International Exchange of Information and the ability of tax authorities to protect and ensure the rights of taxpayers Parthasarathi Shome is currently Chairman, ITRAF, Bengaluru, and Visiting Senior Fellow, London School of Economics. He was Adviser (Minister of State) to the Indian Finance Minister, and chaired India’s Tax Administration Reform Commission (TARC). He has held various positions, including Chief Economist, UK Revenue and Customs; Chief of Tax Policy, IMF; and Professor, American University, Washington DC. His work on GAAR and retrospective taxation is widely cited.",Tax,1195,English,334,,
9788193917190,Issue of Capital and Disclosure Requirements,Shailashri Bhaskar,"Issue of Capital and Disclosure Requirements is the first publication in the, SEBI Regulations – Practical Reference Series, providing clarity on the recently introduced SEBI (ICDR) Regulations, 2018. A first of its kind, SEBI Regulations – Practical Reference Series will cover the full gamut of key SEBI regulations in concise individual volumes covering the provisions, relevant case law and easy to refer tables. The aim is to provide a practical reference tool to the readers to quickly understand these regulations. The current volume in addition to presenting the key provisions of the SEBI (ICDR) Regulations, 2018 also includes the following key features: Tabular representation of the comparative study of the 2009 Regulations and 2018 Regulations Analysis of key Informal Guidance issued by SEBI under the 2009 RegulationsCovers significant adjudication orders under the 2009 RegulationsIncludes important orders issued by the Securities Appellate Tribunal The book will be highly useful to practitioners, law firms, corporate entities and professionals, adjudicating officers, department officials, chartered accountants, company secretaries, and public sector units.Shailashri Bhaskar is a Secretary in Whole Time Practice and former Deputy General Manager with SEBI, specializing in SEBI related matters and handles compliance and Corporate Governance issues of listed entities. She is a regular faculty at programs and seminars organized by the ICSI, ICAI, NISM, NSE and BSE. She is a specialist editor to the latest edition of M C Bhandari’s Guide to Company Law Procedures and has co-authored a book on the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015.",Law,695,English,534,,
9788193966945,Constitutional Supremacy,V Sudhish Pai,"Constitutional Supremacy - A Revisit is a collection of essays on the underlying theme of courts, constitutional issues and constitutional adjudication. Institutions and systems are of abiding value in a constitutional democracy which can work only under institutional safeguards. Law is the principal institution through which a society can assert its values. Constitutionalism and the rule of law facilitate a democratic political system. The relation between the various institutions is not only legal but political; the legal and the political processes are intertwined. Constitutional adjudication is, at least to some extent, political. It is and always has to be statecraft. It is also a dynamic interaction between the different branches of government. There has to be a lively discourse in which all this is constantly evaluated and readjusted. While a superficial answer to the question about the Supreme Court’s role is that the Court is for judicial interpretation of the Constitution, a more relevant answer would have to explore the meaning of judicial interpretation. It is necessary and wise to recognize that there can be no legal solution for every problem. The book addresses these issues. The author’s efforts at critical examination of constitutional issues and evaluation of public law pronouncements are aimed at the cultivation of constitutionalism. The insights in the book will inspire lawyers, judges, legal academics, students, researchers, policy makers and interested citizens. About the Author: V Sudhish Pai is a distinguished lawyer and jurist, and an acclaimed author. His contribution to academics, particularly in the area of critical constitutional analysis, has been substantial and significant. He was a Visiting Chair Professor, Asutosh Mookerjee Chair in WBNUJS, Kolkata and is a resource person at the National Judicial Academy, Bhopal for continuing legal education for judges.",Law,895,English,396,,
9788193966938,The Commercial Mediation Monograph,Sriram Panchu,"You fall into a dispute, try to talk it over, perhaps meet for a direct negotiation and when it fails you go into litigation. At which time you have moved into an unfamiliar world, where the decision making is out of your hands, tremendous delay and heavy costs are expected, and where inevitably there will be further damage to relationship between parties. At the end, and along the way, you would have asked your self the question – couldn’t there have been a better way to handle this problem between the two of us. Perhaps there is, now. In recent times the legal system has witnessed a revolution of sorts. With mediation firmly in place in the Court set-up, it is time to turn attention to the area of what the author calls private mediation. Mediation is strongly indicated for a wide range of business and commercial disputes. Mediation has a dynamic flexibility which enables its use at multiple stages. The book focuses on commercial mediation in the Indian context. It discusses (i) why mediation, how it works and when to use it; (ii) its advantages & limitations; (iii) the job of the mediator; (iv) participation by the parties to the dispute; (v) the role of lawyers & GCs; and (vi) use in different sectors. No matter what the complexity and stakes of the dispute, mediation helps. An amicable settlement is, after all, the best way to end dispute. About The Author: Sriram Panchu commenced practice in 1976 at the Madras High Court and was designated a Senior Advocate in 1996. His field of law practice is constitutional and commercial law. Over the last 20 years, he has been instrumental in bringing mediation into India’s dispute resolution system. In 2005 he set up India’s first court – annexed mediation centre in the Madras High Court, and has gone on to assist the Supreme Court and other High Courts to do so. He has mediated a large number of complex and high-value commercial disputes in India and abroad.",Law,350,English,136,,
9788193966969,Substantial Acquisition of Shares and Takeovers,Shailashri Bhaskar,"Substantial Acquisition of Shares and Takeovers explains the provisions of SEBI (Substantial Acquisition of Shares and Takeovers) Regulations, 2011 in a lucid manner within the SEBI Regulations – Practical Reference Series. &nbsp; The current volume in addition to discussing the key provisions of the SEBI (SAST) Regulations, 2011 also includes the following: ·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Analysis of key Informal Guidance issued by SEBI under the SEBI (SAST) Regulations, 2011 ·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Significant adjudication orders under the SEBI (SAST) Regulations, 2011 ·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Illustrations explaining various concepts including acquisition of voting rights, trigger limits for disclosures, and volume weighted average market price. &nbsp; The book will be highly useful to practitioners,law firms, corporate entities and professionals, adjudicating officers,department officials, chartered accountants, company secretaries, and publicsector units.Shailashri Bhaskar is a Secretary in Whole Time Practice and former Deputy General Manager with SEBI, specializing in SEBI related matters and handles compliance and Corporate Governance issues of listed entities. She is a regular faculty at programs and seminars organized by the ICSI, ICAI, NISM, NSE and BSE. She is a specialist editor to the latest edition of M C Bhandari’s Guide to Company Law Procedures and has co-authored a book on the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015.",Law,395,English,286,,
9789389176100,Prohibition of Insider Trading,Shailashri Bhaskar,"Prohibition of Insider Trading, a part of the SEBI Regulations – Practical Reference Series, discusses the provisions of the SEBI (Prohibition of Insider Trading) Regulations, 2015. Written in a lucid manner, the book explains key provisions of the Regulation with the help of short-notes and illustrations. SEBI Regulations – Practical Reference Series covers the full gamut of key SEBI regulations in concise individual volumes covering the provisions, relevant case law and easy to refer tables. The aim is to provide a practical reference tool to the readers to quickly understand the regulations that govern the Indian Securities Markets. The current volume in addition to discussing the provisions of the SEBI (PIT) Regulations, 2015 include the following: - Informal guidance given by SEBI, Orders passed by the Adjudicating Officers and Whole Time Members, SEBI and the Securities Appellate Tribunal - Examples and case laws as ready guidance to ensure compliance with Regulations - Major amendments made by the Amendment Regulations, 2018 - Comparative study between the SEBI (PIT) Regulations, 1992 & SEBI (PIT) Regulations, 2015 - Guidance Note on SEBI (Prohibition of Insider Trading) Regulations, 2015 - Specimen of key documents such as Trading Plans, Code of Practices & Procedures for Fair Disclosure - Buy Back of Securities - Share Based Employee Benefits - Real Estate Investment Trusts - Infrastructure Investment Trusts - Issue and Listing of Debt Securities - Stock Exchanges and Clearing Corporations - Delisting of Equity Shares - Issue of Sweat Equity - Foreign Venture Capital & Alternative Investment Funds - Depositories and Participants - Settlement of Administrative and Civil Proceedings - Investor Protection and Education Fund - Portfolio Managers & Investment Advisors",Law,450,English,272,,
9789389176223,Buyback of Securities and Delisting of Equity Shares,Shailashri Bhaskar,"Buyback of Securities and Delisting of Equity Shares, a part of the SEBI Regulations – Practical Reference Series, discusses the provisions of the SEBI (Buy-back of Securities) Regulations, 2018 and the SEBI (Delisting of Equity Shares) Regulations, 2009. As part of the Series, it aims to provide a practical reference tool to the readers to quickly understand these Regulations in a comprehensive and lucid manner. Key Features: - Provides the updated position of law taking into account the latest amendments- Analyses the SEBI (Delisting of Equity Shares) (Second Amendment) Regulations, 2018 and major amendments thereunder such as:* introduction of the concept of Counter Offer, * new definition of Specific Date,* clarification that the Merchant Banker who conducted Due Diligence could also be the Manager to the Offer- Includes illustrations and case law as ready guidance to ensure compliance with Regulations- Examines the interplay between Buy-back Regulations and the Substantial Acquisition of Shares & Takeovers Regulations- Contains checklists of activities and timelines under both the Regulations for easy reference- Covers Frequently Asked Questions under the Delisting of Equity Shares Regulations- Includes specimen of key documents such as Board Resolution, Public Notice, Public Announcement and Relevant Reports- Compares different types of buyback in a tabular format The book will be highly useful to practitioners, law firms, corporate entities and professionals, adjudicating officers, department officials, chartered accountants, company secretaries, and public sector units.Shailashri Bhaskar is a Secretary in Whole Time Practice and former Deputy General Manager with SEBI, specializing in SEBI related matters and handles compliance and Corporate Governance issues of listed entities. She is a regular faculty at programs and seminars organized by the ICSI, ICAI, NISM",Law,695,English,464,,
9789389176193,The Art of Legal Writing,Richa Kachhwaha,"In today’s sophisticated law practice, lawyers and legal professionals have a challenging twin- task: that of addressing complex subject matter and producing cogent written work with which the reader can connect without getting lost in the legalese. The Art of Legal Writing: Practicing Lawyers to Successful Professionals discusses the interplay between the fundamentals and specific techniques of legal writing and editing. The book covers linguistic and stylistic tools of contract drafting, the art of written advocacy, and writing for businesses in the in-house practice. It also examines the role of technology in legal research and how it is disrupting the practice of law. Techniques of editing and proofreading are the other key takeaways of the book. Diverse set of examples are incorporated throughout the narrative to illustrate the application of various principles and techniques. The book will be valuable for lawyers (litigation and corporate), in-house legal counsels, law students and academicians. Praise for the book: “… a commendable work which fills the void of adequate literature on the art of legal writing. It is a must read for both novices and experienced professionals… This book will equip a professional to master the skill of using words effectively to establish a connect with the reader in the legal context.”~ M.A. Rashid, Editor and Founder Author of Ultimate Guide to CLAT and Ultimate Guide to Judicial service Examination “Writing is oxygen for lawyers because they write more than any other professional .. Buy this and keep it on the top of your book-shelf throughout the 3 or 5 years of your law school and beyond.” ~ Tanuj Kalia, Founding CEO – LawctopusRicha Kachhwaha has over 14 years of experience in legal writing and editing. She is a qualified Solicitor of Supreme Court of England and Wales and holds a Masters’ Degree in Commercial Laws",Law,550,English,294,,
