year,name,title,image_filename
2026,Arjun Ram Meghwal,"Union Minister for Law and Justice, Government of India",2026-arjun-ram-meghwal.png
2026,Dr Lalit Bhasin,"President, Society of Indian Law Firms (SILF)",2026-dr-lalit-bhasin.png
2026,Dr Manoj Kumar,"Additional Secretary, Ministry of Law and Justice",2026-dr-manoj-kumar.png
2026,Dr K K Khandelwal,"IAS (Retd), Chief National Commissioner, Bharat Scouts & Guides",2026-dr-k-k-khandelwal.png
2026,Anand Prasad,"Sr Partner, AP & Partners",2026-anand-prasad.png
2026,Bithika Anand,"Founder, Chairman & Managing Director, LLC & Founder & CEO, Human Elevation",2026-bithika-anand.png
2026,Chander Lall,Senior Advocate & Founder of Lall & Sethi,2026-chander-lall.png
2026,Dr Sanjeev Gemawat,"Managing Director & Group General Counsel, Essar Group",2026-dr-sanjeev-gemawat.png
2026,C V Raghu,"Managing Partner, CVR Law | President & Founder, GCAI | Investor",2026-c-v-raghu.png
2026,Dr Pratap Singh,Director General of Income Tax (Inv),2026-dr-pratap-singh.png
2026,Rajiv Chauhan,General Counsel,2026-rajiv-chauhan.png
2026,Dr Akhil Prasad,"Board Member, Group General Counsel, Company Secretary at Boeing India",2026-dr-akhil-prasad.png
2026,Shujath Bin Ali,"Chief Legal Officer, Excom member of Fourth Partner Energy",2026-shujath-bin-ali.png
2026,Dr Neera Sharma,"GGC & CEO, Board Director, Sistema Smart Technologies Limited",2026-dr-neera-sharma.png
2026,Sudhir Mishra,"Founder & Managing Partner, Trust Legal Advocates & Consultants",2026-sudhir-mishra.png
2026,Prof (Dr) Avinash Dadhich,"Founding Director, School of Law at Dhirubhai Ambani University",2026-prof-dr-avinash-dadhich.png
2026,Ameya Kunte,"Founder, Globeview Advisors",2026-ameya-kunte.png
2026,Nipun K Bhatiaa,"CEO, Legal League Consulting",2026-nipun-k-bhatiaa.png
2026,Adarsh Ramanujan,Independent Counsel at Law Chambers of Adarsh Ramanujan,2026-adarsh-ramanujan.png
2026,Ashima Ohri,"Chief Director Practice Development, Shardul Amarchand Mangaldas & Co",2026-ashima-ohri.png
2026,Arush Khanna,"Partner, Neumen Law Offices",2026-arush-khanna.png
2026,Manjaree Chowdhary,General Counsel & Chief Compliance Officer at Maruti Suzuki,2026-manjaree-chowdhary.png
2026,Justice A K Sikri,"Former SC Judge, India & Judge, Singapore Int’l Commercial Court",2026-justice-a-k-sikri.png
2026,Dr A Venkatesan,"GM Law, GAIL India Ltd",2026-dr-a-venkatesan.png
2026,Gaythri Raman,"Managing Director SEA and India, LexisNexis",2026-gaythri-raman.png
2026,Amitabh Lal Das,"Business Head & Chief Legal Officer, Hyundai Motor IndiaLtd.",2026-amitabh-lal-das.png
2026,Ravi Kishan,Member of Parliament & Actor,2026-ravi-kishan.png
2026,Rajiv Malik,"Deputy General Manager, LG Electronics",2026-rajiv-malik.png
2026,Jonathan Rodrigues,"Mediator & Founder, The PACT",2026-jonathan-rodrigues.png
2026,Ms Pallavi Saluja,"Editor, Bar and Bench",2026-ms-pallavi-saluja.png
2026,Alok Kumar,"Sr Partner, THS Law Firm",2026-alok-kumar.png
2026,Ms Rupam Tandon,Certified Independent Director & Board Advisor,2026-ms-rupam-tandon.png
2026,Ms Sanya Talwar,"Editor, LawBeat",2026-ms-sanya-talwar.png
2026,R Venkataramani,Attorney General for India,2026-r-venkataramani.png
2026,Sankalp S. Srivastava,"Co-Founder, Jurisphere",2026-sankalp-s-srivastava.png
2026,Fauzia Dastango,Dastangoi Storyteller,2026-fauzia-dastango.png
2026,Mehak Oberoi,"Senior Legal Counsel, Hydropower - Asia Pacific, GE Vernova",2026-mehak-oberoi.png
2026,Sachin Kalra,Head Regulatory & Deputy General Counsel at HT Media Ltd,2026-sachin-kalra.png
2026,Parvesh Kheterpal,General Counsel -Head Regulatory & Power Sales - AMPYR Energy,2026-parvesh-kheterpal.png
2026,Sameet Gambhir,"Sr. Vice President & Group head - Legal, UFlex Ltd",2026-sameet-gambhir.png
